,0h,8h,24h,48h,72h,passaged1,passaged2,0h,8h,24h,48h,72h,passaged1,passaged2
A1-2,32.58,30.55,20.13,13.22,12.11,13.11,13.44,33.15,31.45,21.19,13.59,13.16,14.07,14.73
A1-2,31.58,30.24,20.04,13.57,12.5,14.02,13.49,32.27,31.14,21.25,14.39,13.65,15.02,14.63
A1-4,32.66,30.87,21.41,12.2,12.74,13.62,12.97,33.27,31.65,22.43,12.76,13.65,14.06,14.15
A1-4,32.21,30.55,21.4,13.41,12.34,13.85,13.09,32.92,31.51,22.51,13.24,13.31,14.78,14.25
A1-5,32.17,30.34,20.34,13.3,12.28,13.98,12.68,32.91,31.09,21.46,14.22,13.23,14.25,13.25
A1-5,31.69,30.24,20.6,13.23,12.42,14.32,12.82,32.37,31.12,21.74,14.08,13.36,15.07,13.85
B1-1,33.35,30.2,19.65,14.06,12.21,14.08,12.67,34.12,31.12,20.03,15.01,13.28,15.38,13.44
B1-1,33.01,29.63,19.62,12.73,12.35,14.8,12.71,33.68,30.52,20.8,13.89,12.46,15.19,13.5
B2-1,32.75,30.07,18.01,14.02,12.35,14.29,13.44,33.14,31.42,17.83,15.2,13.42,15.46,14.03
B2-1,31.71,28.09,19.34,14.19,12.24,14.84,12.76,32.26,29.36,19.78,15.26,13.31,16.04,13.22
A1-2+B1-1,32.22,30.83,20.43,12.94,12.25,13.63,13.05,32.69,31.38,21.57,13.89,12,14.38,14.2
A1-2+B1-1,32.06,30.6,19.86,13.65,12.25,13.92,12.6,33.04,31.38,21.11,14.39,13.43,14.66,13.83
A1-2+B1-1,31.14,30.18,19.9,13.68,12.22,13.58,12.61,32.08,30.83,21.07,14.77,13.37,14.38,13.69
A1-2+B2-1,32.48,30.68,20.35,14.04,12.5,14.31,12.82,33,31.41,21.57,15.22,13.69,15.4,13.83
A1-2+B2-1,32.11,30.62,20.04,14.17,12.61,14.33,12.88,32.88,31.34,21.12,15.27,13.93,15.1,13.93
A1-2+B2-1,31.11,30.38,19.27,14.17,12.29,14.45,12.82,31.79,31.07,20.42,15.26,13.46,14.92,14.1
A1-4+B1-1,33.07,30.9,20.38,13.9,12.64,13.98,12.49,34.1,31.57,21.47,15.09,13.73,15.01,13.65
A1-4+B1-1,32.05,30.84,20.43,14.19,12.51,13.75,12.5,32.84,31.42,21.83,15.24,13.39,14.87,13.37
A1-4+B1-1,31.28,30.27,19.32,13.95,12.47,14.01,12.67,31.91,30.96,20.46,15.04,13.35,14.65,13.72
A1-4+B2-1,32,28.81,20.31,14.05,12.45,13.61,12.06,32.88,29.45,21.54,15.18,13.46,14.39,12.96
A1-4+B2-1,30.79,29.67,19.56,13.8,12.5,14.04,12.68,31.66,30.64,19.83,14.82,13.5,15.16,13.7
A1-4+B2-1,31.11,29.41,17.93,14.19,12.62,13.89,12.83,32.12,30.75,19.4,15.1,13.4,14.56,13.93
A1-5+B1-1,31.96,29.98,20.27,12.4,12.05,13.18,13.03,32.5,30.73,21.52,13.93,13.1,14.07,14.18
A1-5+B1-1,32.02,30.23,20.52,13.93,12.29,14.22,13.51,32.7,30.88,21.57,14.31,13.28,14.16,14.61
A1-5+B1-1,31.64,29.72,19.89,13.78,12.32,13.94,13.01,32.04,30.65,20.87,13.85,12.27,14.74,14.07
A1-5+B2-1,32.53,30.2,20.51,13.55,12.67,13.81,12.36,32.97,31.15,21.64,14.49,12.3,14.51,13.45
A1-5+B2-1,32.02,30.19,20.22,13.87,12.52,13.71,12.87,32.82,31.13,21.31,14.92,13.22,14.52,13.96
A1-5+B2-1,32.13,30.17,20.22,13.48,12.6,13.71,12.77,33.04,31.09,21.44,14.43,13.57,15.31,13.43
