Var1,Freq,Mutations
2019/12/24,0,Lineage A
2019/12/25,0,Lineage A
2019/12/26,0,Lineage A
2019/12/27,0,Lineage A
2019/12/28,0,Lineage A
2019/12/29,0,Lineage A
2019/12/30,1,Lineage A
2019/12/31,0,Lineage A
2020/1/1,0,Lineage A
2020/1/2,0,Lineage A
2020/1/3,0,Lineage A
2020/1/4,0,Lineage A
2020/1/5,1,Lineage A
2020/1/6,0,Lineage A
2020/1/7,0,Lineage A
2020/1/8,0,Lineage A
2020/1/9,0,Lineage A
2020/1/10,1,Lineage A
2020/1/11,1,Lineage A
2020/1/12,0,Lineage A
2020/1/13,1,Lineage A
2020/1/14,1,Lineage A
2020/1/15,3,Lineage A
2020/1/16,0,Lineage A
2020/1/17,2,Lineage A
2020/1/18,3,Lineage A
2020/1/19,3,Lineage A
2020/1/20,1,Lineage A
2020/1/21,7,Lineage A
2020/1/22,13,Lineage A
2020/1/23,8,Lineage A
2020/1/24,11,Lineage A
2020/1/25,17,Lineage A
2020/1/26,22,Lineage A
2020/1/27,9,Lineage A
2020/1/28,14,Lineage A
2020/1/29,17,Lineage A
2020/1/30,24,Lineage A
2020/1/31,13,Lineage A
2020/2/1,9,Lineage A
2020/2/2,19,Lineage A
2020/2/3,7,Lineage A
2020/2/4,10,Lineage A
2020/2/5,16,Lineage A
2020/2/6,8,Lineage A
2020/2/7,7,Lineage A
2020/2/8,9,Lineage A
2020/2/9,6,Lineage A
2020/2/10,2,Lineage A
2020/2/11,7,Lineage A
2020/2/12,3,Lineage A
2020/2/13,2,Lineage A
2020/2/14,6,Lineage A
2020/2/15,4,Lineage A
2020/2/16,0,Lineage A
2020/2/17,6,Lineage A
2020/2/18,1,Lineage A
2020/2/19,1,Lineage A
2020/2/20,4,Lineage A
2020/2/21,4,Lineage A
2020/2/22,7,Lineage A
2020/2/23,5,Lineage A
2020/2/24,5,Lineage A
2020/2/25,12,Lineage A
2020/2/26,8,Lineage A
2020/2/27,9,Lineage A
2020/2/28,22,Lineage A
2020/2/29,32,Lineage A
2020/3/1,31,Lineage A
2020/3/2,47,Lineage A
2020/3/3,51,Lineage A
2020/3/4,46,Lineage A
2020/3/5,90,Lineage A
2020/3/6,48,Lineage A
2020/3/7,45,Lineage A
2020/3/8,63,Lineage A
2020/3/9,120,Lineage A
2020/3/10,117,Lineage A
2020/3/11,112,Lineage A
2020/3/12,167,Lineage A
2020/3/13,247,Lineage A
2020/3/14,160,Lineage A
2020/3/15,166,Lineage A
2020/3/16,273,Lineage A
2020/3/17,220,Lineage A
2020/3/18,209,Lineage A
2020/3/19,196,Lineage A
2020/3/20,229,Lineage A
2020/3/21,184,Lineage A
2020/3/22,159,Lineage A
2020/3/23,197,Lineage A
2020/3/24,165,Lineage A
2020/3/25,225,Lineage A
2020/3/26,152,Lineage A
2020/3/27,158,Lineage A
2020/3/28,146,Lineage A
2020/3/29,93,Lineage A
2020/3/30,118,Lineage A
2020/3/31,127,Lineage A
2020/4/1,129,Lineage A
2020/4/2,91,Lineage A
2020/4/3,75,Lineage A
2020/4/4,54,Lineage A
2020/4/5,37,Lineage A
2020/4/6,84,Lineage A
2020/4/7,55,Lineage A
2020/4/8,91,Lineage A
2020/4/9,85,Lineage A
2020/4/10,68,Lineage A
2020/4/11,34,Lineage A
2020/4/12,33,Lineage A
2020/4/13,69,Lineage A
2020/4/14,46,Lineage A
2020/4/15,64,Lineage A
2020/4/16,34,Lineage A
2020/4/17,44,Lineage A
2020/4/18,24,Lineage A
2020/4/19,16,Lineage A
2020/4/20,56,Lineage A
2020/4/21,47,Lineage A
2020/4/22,47,Lineage A
2020/4/23,31,Lineage A
2020/4/24,21,Lineage A
2020/4/25,15,Lineage A
2020/4/26,32,Lineage A
2020/4/27,29,Lineage A
2020/4/28,29,Lineage A
2020/4/29,22,Lineage A
2020/4/30,40,Lineage A
2020/5/1,36,Lineage A
2020/5/2,13,Lineage A
2020/5/3,9,Lineage A
2020/5/4,25,Lineage A
2020/5/5,23,Lineage A
2020/5/6,18,Lineage A
2020/5/7,24,Lineage A
2020/5/8,14,Lineage A
2020/5/9,12,Lineage A
2020/5/10,12,Lineage A
2020/5/11,22,Lineage A
2020/5/12,12,Lineage A
2020/5/13,18,Lineage A
2020/5/14,17,Lineage A
2020/5/15,65,Lineage A
2020/5/16,15,Lineage A
2020/5/17,24,Lineage A
2020/5/18,59,Lineage A
2020/5/19,49,Lineage A
2020/5/20,13,Lineage A
2020/5/21,6,Lineage A
2020/5/22,13,Lineage A
2020/5/23,5,Lineage A
2020/5/24,6,Lineage A
2020/5/25,13,Lineage A
2020/5/26,14,Lineage A
2020/5/27,18,Lineage A
2020/5/28,14,Lineage A
2020/5/29,14,Lineage A
2020/5/30,5,Lineage A
2020/5/31,2,Lineage A
2020/6/1,6,Lineage A
2020/6/2,15,Lineage A
2020/6/3,7,Lineage A
2020/6/4,6,Lineage A
2020/6/5,11,Lineage A
2020/6/6,4,Lineage A
2020/6/7,4,Lineage A
2020/6/8,11,Lineage A
2020/6/9,2,Lineage A
2020/6/10,13,Lineage A
2020/6/11,23,Lineage A
2020/6/12,8,Lineage A
2020/6/13,8,Lineage A
2020/6/14,7,Lineage A
2020/6/15,16,Lineage A
2020/6/16,29,Lineage A
2020/6/17,12,Lineage A
2020/6/18,5,Lineage A
2020/6/19,16,Lineage A
2020/6/20,5,Lineage A
2020/6/21,4,Lineage A
2020/6/22,5,Lineage A
2020/6/23,6,Lineage A
2020/6/24,3,Lineage A
2020/6/25,10,Lineage A
2020/6/26,7,Lineage A
2020/6/27,5,Lineage A
2020/6/28,5,Lineage A
2020/6/29,9,Lineage A
2020/6/30,6,Lineage A
2020/7/1,5,Lineage A
2020/7/2,10,Lineage A
2020/7/3,3,Lineage A
2020/7/4,5,Lineage A
2020/7/5,3,Lineage A
2020/7/6,6,Lineage A
2020/7/7,2,Lineage A
2020/7/8,7,Lineage A
2020/7/9,4,Lineage A
2020/7/10,3,Lineage A
2020/7/11,2,Lineage A
2020/7/12,2,Lineage A
2020/7/13,20,Lineage A
2020/7/14,3,Lineage A
2020/7/15,3,Lineage A
2020/7/16,0,Lineage A
2020/7/17,5,Lineage A
2020/7/18,1,Lineage A
2020/7/19,2,Lineage A
2020/7/20,29,Lineage A
2020/7/21,6,Lineage A
2020/7/22,2,Lineage A
2020/7/23,3,Lineage A
2020/7/24,2,Lineage A
2020/7/25,1,Lineage A
2020/7/26,1,Lineage A
2020/7/27,1,Lineage A
2020/7/28,3,Lineage A
2020/7/29,2,Lineage A
2020/7/30,1,Lineage A
2020/7/31,4,Lineage A
2020/8/1,0,Lineage A
2020/8/2,1,Lineage A
2020/8/3,1,Lineage A
2020/8/4,3,Lineage A
2020/8/5,3,Lineage A
2020/8/6,3,Lineage A
2020/8/7,2,Lineage A
2020/8/8,1,Lineage A
2020/8/9,1,Lineage A
2020/8/10,4,Lineage A
2020/8/11,0,Lineage A
2020/8/12,6,Lineage A
2020/8/13,3,Lineage A
2020/8/14,5,Lineage A
2020/8/15,22,Lineage A
2020/8/16,3,Lineage A
2020/8/17,2,Lineage A
2020/8/18,2,Lineage A
2020/8/19,3,Lineage A
2020/8/20,1,Lineage A
2020/8/21,1,Lineage A
2020/8/22,2,Lineage A
2020/8/23,2,Lineage A
2020/8/24,3,Lineage A
2020/8/25,3,Lineage A
2020/8/26,5,Lineage A
2020/8/27,2,Lineage A
2020/8/28,2,Lineage A
2020/8/29,0,Lineage A
2020/8/30,0,Lineage A
2020/8/31,5,Lineage A
2020/9/1,27,Lineage A
2020/9/2,2,Lineage A
2020/9/3,0,Lineage A
2020/9/4,2,Lineage A
2020/9/5,1,Lineage A
2020/9/6,0,Lineage A
2020/9/7,2,Lineage A
2020/9/8,0,Lineage A
2020/9/9,1,Lineage A
2020/9/10,0,Lineage A
2020/9/11,9,Lineage A
2020/9/12,3,Lineage A
2020/9/13,0,Lineage A
2020/9/14,2,Lineage A
2020/9/15,1,Lineage A
2020/9/16,3,Lineage A
2020/9/17,4,Lineage A
2020/9/18,0,Lineage A
2020/9/19,0,Lineage A
2020/9/20,0,Lineage A
2020/9/21,7,Lineage A
2020/9/22,1,Lineage A
2020/9/23,3,Lineage A
2020/9/24,1,Lineage A
2020/9/25,2,Lineage A
2020/9/26,0,Lineage A
2020/9/27,0,Lineage A
2020/9/28,2,Lineage A
2020/9/29,0,Lineage A
2020/9/30,2,Lineage A
2020/10/1,0,Lineage A
2020/10/2,0,Lineage A
2020/10/3,0,Lineage A
2020/10/4,1,Lineage A
2020/10/5,0,Lineage A
2020/10/6,0,Lineage A
2020/10/7,1,Lineage A
2020/10/8,3,Lineage A
2020/10/9,2,Lineage A
2020/10/10,0,Lineage A
2020/10/11,0,Lineage A
2020/10/12,1,Lineage A
2020/10/13,1,Lineage A
2020/10/14,1,Lineage A
2020/10/15,1,Lineage A
