"date","V","y"
2020-04-14,"D614G",1
2020-12-06,"D614G",1
2020-12-22,"D614G",1
2020-12-28,"D614G",2
2020-12-29,"D614G",1
2021-01-03,"D614G",1
2021-01-05,"D614G",1
2021-01-07,"D614G",1
2021-01-09,"D614G",1
2021-01-11,"D614G",1
2021-01-12,"Alpha",1
2021-01-12,"D614G",4
2021-01-13,"D614G",3
2021-01-14,"D614G",1
2021-01-15,"D614G",2
2021-01-16,"Delta",1
2021-01-17,"D614G",2
2021-01-17,"Delta",1
2021-01-18,"D614G",3
2021-01-31,"Alpha",1
2021-02-03,"D614G",1
2021-02-04,"Alpha",2
2021-02-07,"D614G",1
2021-02-08,"Alpha",1
2021-02-08,"D614G",2
2021-02-09,"Alpha",2
2021-02-09,"D614G",4
2021-02-13,"Alpha",1
2021-02-14,"Alpha",1
2021-02-15,"Alpha",1
2021-02-15,"D614G",2
2021-02-16,"Alpha",3
2021-02-16,"D614G",2
2021-02-17,"Alpha",6
2021-02-17,"D614G",1
2021-02-18,"Alpha",2
2021-02-18,"D614G",1
2021-02-19,"Alpha",1
2021-02-20,"Alpha",3
2021-02-21,"Alpha",4
2021-02-22,"Alpha",7
2021-02-22,"D614G",1
2021-02-23,"Alpha",6
2021-03-09,"Alpha",1
2021-03-09,"D614G",1
2021-03-11,"Alpha",1
2021-03-14,"Alpha",1
2021-03-15,"Alpha",1
2021-03-16,"Alpha",2
2021-03-17,"Alpha",4
2021-03-18,"Alpha",8
2021-03-18,"D614G",2
2021-03-19,"Alpha",6
2021-03-20,"Alpha",2
2021-03-21,"Alpha",26
2021-03-21,"D614G",1
2021-03-22,"Alpha",11
2021-03-23,"Alpha",13
2021-03-24,"Alpha",1
2021-03-28,"Alpha",1
2021-03-29,"Alpha",7
2021-03-30,"Alpha",4
2021-03-30,"D614G",1
2021-03-31,"Alpha",5
2021-04-01,"Alpha",3
2021-04-05,"Alpha",11
2021-04-06,"Alpha",13
2021-04-07,"Alpha",1
2021-04-08,"Alpha",1
2021-04-11,"Alpha",11
2021-04-12,"Alpha",4
2021-04-13,"Alpha",6
2021-04-15,"Alpha",1
2021-04-18,"Alpha",6
2021-04-19,"Alpha",6
2021-04-20,"Alpha",6
2021-04-21,"Alpha",1
2021-04-29,"Alpha",1
2021-05-02,"Alpha",1
2021-05-03,"Alpha",9
2021-05-04,"Alpha",6
2021-05-05,"Alpha",6
2021-05-09,"Alpha",1
2021-05-10,"Alpha",7
2021-05-11,"Alpha",5
2021-05-12,"Alpha",3
2021-05-16,"Alpha",1
2021-05-17,"Alpha",2
2021-05-18,"Alpha",2
2021-05-20,"Alpha",1
2021-05-24,"Alpha",3
2021-05-25,"Alpha",1
2021-05-26,"Alpha",1
2021-05-30,"Alpha",1
2021-05-31,"Alpha",1
2021-06-02,"Alpha",1
2021-06-08,"Alpha",1
2021-06-14,"Delta",1
2021-06-14,"Omicron",1
2021-06-15,"Alpha",1
2021-06-18,"D614G",1
2021-06-19,"Alpha",1
2021-06-19,"Delta",1
2021-06-20,"Alpha",2
2021-06-21,"D614G",1
2021-06-23,"Delta",1
2021-06-26,"Alpha",1
2021-07-06,"Delta",1
2021-07-07,"Delta",3
2021-07-08,"Delta",2
2021-07-11,"Delta",7
2021-07-13,"Delta",2
2021-07-20,"Delta",5
2021-07-21,"Delta",5
2021-07-22,"Delta",4
2021-07-23,"Delta",1
2021-07-24,"Delta",3
2021-07-25,"Delta",6
2021-07-26,"Delta",2
2021-07-27,"Delta",7
2021-07-28,"Delta",9
2021-07-29,"Delta",4
2021-07-30,"Delta",2
2021-07-31,"Delta",3
2021-08-01,"Delta",6
2021-08-02,"Delta",1
2021-08-03,"D614G",1
2021-08-03,"Delta",8
2021-08-04,"D614G",1
2021-08-04,"Delta",7
2021-08-05,"Delta",5
2021-08-06,"Delta",1
2021-08-07,"Delta",2
2021-08-08,"Delta",8
2021-08-09,"Delta",4
2021-08-10,"Delta",5
2021-08-11,"Delta",4
2021-08-12,"Delta",1
2021-08-14,"Delta",1
2021-08-15,"Delta",2
2021-08-16,"Delta",1
2021-08-17,"D614G",1
2021-08-17,"Delta",11
2021-08-18,"Delta",1
2021-08-19,"Delta",2
2021-08-20,"D614G",1
2021-08-20,"Delta",1
2021-08-22,"Delta",2
2021-08-23,"D614G",1
2021-08-23,"Delta",7
2021-08-24,"Delta",12
2021-08-25,"Delta",2
2021-08-26,"Delta",1
2021-08-27,"D614G",2
2021-08-27,"Delta",1
2021-08-28,"D614G",2
2021-08-29,"D614G",1
2021-08-29,"Delta",9
2021-08-30,"D614G",2
2021-08-30,"Delta",2
2021-08-31,"D614G",1
2021-08-31,"Delta",20
2021-09-01,"Delta",7
2021-09-02,"Delta",3
2021-09-03,"Delta",2
2021-09-05,"Delta",18
2021-09-06,"Delta",12
2021-09-07,"Delta",27
2021-09-08,"Delta",9
2021-09-09,"Delta",11
2021-09-11,"D614G",1
2021-09-11,"Delta",4
2021-09-12,"Delta",19
2021-09-13,"Delta",9
2021-09-14,"Delta",22
2021-09-19,"Delta",1
2021-09-20,"Delta",1
2021-09-21,"Delta",4
2021-09-22,"Delta",4
2021-09-25,"Delta",5
2021-09-26,"Delta",12
2021-09-28,"Delta",1
2021-09-30,"Delta",14
2021-10-03,"Delta",19
2021-10-04,"Delta",4
2021-10-05,"Delta",10
2021-10-06,"Delta",4
2021-10-07,"Delta",1
2021-10-10,"Delta",26
2021-10-12,"Delta",1
2021-10-13,"Delta",3
2021-10-15,"Delta",1
2021-10-17,"Delta",30
2021-10-18,"Delta",10
2021-10-19,"Delta",13
2021-10-20,"Delta",2
2021-10-23,"Delta",1
2021-10-24,"Delta",51
2021-10-25,"Delta",10
2021-10-26,"Delta",16
2021-10-27,"Delta",15
2021-10-28,"Delta",13
2021-10-31,"Delta",7
2021-11-01,"Delta",15
2021-11-02,"Delta",2
2021-11-03,"Delta",18
2021-11-05,"Delta",7
2021-11-06,"Delta",6
2021-11-07,"Delta",29
2021-11-08,"Delta",23
2021-11-09,"Delta",25
2021-11-10,"Delta",3
2021-11-11,"Delta",13
2021-11-14,"Delta",22
2021-11-15,"Delta",1
2021-11-16,"Delta",6
2021-11-17,"Delta",2
2021-11-18,"Delta",7
2021-11-20,"Delta",6
2021-11-21,"Delta",39
2021-11-22,"Delta",1
2021-11-23,"Delta",15
2021-11-24,"Delta",3
2021-11-26,"Delta",1
2021-11-27,"Delta",1
2021-11-28,"Delta",53
2021-11-29,"Delta",17
2021-11-30,"Delta",14
2021-12-01,"Delta",2
2021-12-02,"Delta",17
2021-12-03,"Delta",2
2021-12-04,"Delta",7
2021-12-05,"Delta",29
2021-12-06,"Delta",17
2021-12-07,"Delta",11
2021-12-08,"Delta",3
2021-12-09,"Delta",9
2021-12-12,"Delta",40
2021-12-13,"Delta",12
2021-12-14,"Delta",3
2021-12-15,"Delta",4
2021-12-16,"Delta",3
2021-12-18,"Delta",6
2021-12-19,"Delta",21
2021-12-20,"Delta",10
2021-12-21,"Delta",17
2021-12-22,"Delta",4
2021-12-24,"Delta",2
2021-12-25,"Delta",1
2021-12-26,"D614G",1
2021-12-26,"Delta",29
2021-12-26,"Omicron",3
2021-12-27,"Delta",1
2021-12-28,"D614G",1
2021-12-28,"Delta",11
2021-12-28,"Omicron",2
2021-12-30,"Delta",9
2021-12-30,"Omicron",1
2022-01-01,"Delta",5
2022-01-02,"D614G",3
2022-01-02,"Delta",12
2022-01-02,"Omicron",23
2022-01-04,"Delta",8
2022-01-04,"Omicron",18
2022-01-05,"Omicron",1
2022-01-07,"Omicron",2
2022-01-09,"Delta",2
2022-01-09,"Omicron",32
2022-01-11,"Omicron",11
2022-01-13,"Omicron",6
2022-01-14,"Omicron",8
2022-01-15,"Omicron",5
2022-01-16,"Omicron",39
2022-01-17,"Omicron",3
2022-01-18,"Omicron",18
2022-01-19,"Omicron",3
2022-01-20,"Delta",1
2022-01-20,"Omicron",11
2022-01-22,"Omicron",1
2022-01-23,"Omicron",45
2022-01-24,"Omicron",2
2022-01-25,"Omicron",15
2022-01-26,"Omicron",4
2022-01-27,"Omicron",14
2022-01-28,"Omicron",9
2022-01-29,"Omicron",6
2022-01-30,"Omicron",28
2022-02-01,"Omicron",16
2022-02-02,"Omicron",4
2022-02-03,"Omicron",4
2022-02-06,"Omicron",44
2022-02-07,"Omicron",1
2022-02-08,"Omicron",16
2022-02-09,"Omicron",1
