,A/H1,A/H3,A/H5,B/Victoria,B/Yamagata,Total
2021/7/31,0.1066,0.2746,0.0205,0.5984,0,244
2021/8/31,0.0776,0.4511,0.0057,0.4655,0,348
2021/9/30,0.2277,0.4723,0.0046,0.2954,0,650
2021/10/31,0.1566,0.683,0,0.1603,0,1079
2021/11/30,0.0473,0.8295,0,0.1214,0.0018,2199
2021/12/31,0.0358,0.867,0.0005,0.0967,0,3744
2022/1/31,0.215,0.7133,0,0.0717,0,3837
2022/2/28,0.0726,0.8573,0.0006,0.0695,0,1626
2022/3/31,0.0653,0.9028,0,0.0318,0,4209
2022/4/30,0.0974,0.8746,0.0002,0.0278,0,4496
2022/5/31,0.1162,0.8491,0,0.0347,0,3228
2022/6/30,0.1247,0.8269,0,0.0478,0.0005,1820
2022/7/31,0.1632,0.7642,0,0.0725,0,1213
2022/8/31,0.2153,0.6828,0,0.1019,0,1138
2022/9/30,0.2051,0.7089,0.0005,0.0856,0,2209
2022/10/31,0.2587,0.655,0.0002,0.0861,0,4330
2022/11/30,0.2377,0.7018,0.0001,0.0604,0,7754
2022/12/31,0.3114,0.6309,0,0.0577,0,13790
2023/1/31,0.4048,0.392,0.0001,0.2029,0.0001,7216
2023/2/28,0.3474,0.2276,0.001,0.4239,0,4798
2023/3/31,0.3176,0.1751,0.0002,0.5069,0.0002,4563
2023/4/30,0.4138,0.1574,0,0.4288,0,2948
2023/5/31,0.4684,0.212,0.0007,0.3189,0,2863
2023/6/30,0.5089,0.2441,0.0004,0.2467,0,2651
2023/7/31,0.562,0.1919,0.0005,0.2456,0,2048
2023/8/31,0.4477,0.2897,0,0.2627,0,1481
2023/9/30,0.4176,0.3592,0,0.2232,0,1971
2023/10/31,0.44,0.3763,0.0019,0.1818,0,2591
2023/11/30,0.4796,0.3993,0.0004,0.1207,0,4671
2023/12/31,0.5315,0.3913,0,0.0771,0.0001,9794
2024/1/31,0.5737,0.3183,0.0001,0.1079,0,9840
2024/2/29,0.4925,0.336,0.0001,0.171,0.0003,7648
2024/3/31,0.3661,0.3445,0.0008,0.2886,0,5204
2024/4/30,0.3611,0.3667,0.001,0.2712,0,3046
2024/5/31,0.3734,0.3934,0.0019,0.2313,0,1548
2024/6/30,0.3841,0.4272,0,0.1887,0,302
