"date","GISAID_clade","count"
2019-12-24,"undefined",1
2019-12-26,"undefined",1
2019-12-30,"undefined",19
2019-12-31,"undefined",1
2020-01-01,"G",1
2020-01-01,"GH",1
2020-01-01,"undefined",3
2020-01-02,"undefined",2
2020-01-03,"undefined",1
2020-01-04,"GH",1
2020-01-05,"GRA",1
2020-01-05,"undefined",1
2020-01-08,"undefined",3
2020-01-09,"GR",1
2020-01-10,"G",18
2020-01-10,"GH",3
2020-01-10,"undefined",2
2020-01-11,"undefined",3
2020-01-12,"undefined",1
2020-01-13,"L",1
2020-01-13,"undefined",5
2020-01-14,"GR",2
2020-01-14,"undefined",1
2020-01-15,"undefined",5
2020-01-16,"undefined",2
2020-01-17,"GH",1
2020-01-17,"undefined",5
2020-01-18,"undefined",6
2020-01-19,"S",1
2020-01-19,"undefined",5
2020-01-20,"undefined",6
2020-01-21,"GH",1
2020-01-21,"undefined",24
2020-01-22,"L",1
2020-01-22,"O",1
2020-01-22,"undefined",30
2020-01-23,"S",1
2020-01-23,"undefined",32
2020-01-24,"S",1
2020-01-24,"undefined",31
2020-01-25,"S",1
2020-01-25,"undefined",53
2020-01-26,"GH",3
2020-01-26,"undefined",46
2020-01-27,"S",1
2020-01-27,"undefined",37
2020-01-28,"G",1
2020-01-28,"L",1
2020-01-28,"undefined",32
2020-01-29,"GR",1
2020-01-29,"S",1
2020-01-29,"undefined",54
2020-01-30,"undefined",54
2020-01-31,"undefined",34
2020-02-01,"undefined",39
2020-02-02,"G",5
2020-02-02,"L",1
2020-02-02,"S",8
2020-02-02,"undefined",33
2020-02-03,"S",1
2020-02-03,"undefined",29
2020-02-04,"S",2
2020-02-04,"undefined",27
2020-02-05,"O",4
2020-02-05,"undefined",38
2020-02-06,"undefined",28
2020-02-07,"O",1
2020-02-07,"undefined",27
2020-02-08,"undefined",35
2020-02-09,"O",3
2020-02-09,"V",1
2020-02-09,"undefined",25
2020-02-10,"GR",1
2020-02-10,"O",3
2020-02-10,"undefined",20
2020-02-11,"O",1
2020-02-11,"undefined",21
2020-02-12,"GR",1
2020-02-12,"undefined",7
2020-02-13,"O",1
2020-02-13,"V",2
2020-02-13,"undefined",15
2020-02-14,"G",1
2020-02-14,"L",1
2020-02-14,"O",4
2020-02-14,"V",1
2020-02-14,"undefined",17
2020-02-15,"GR",1
2020-02-15,"O",2
2020-02-15,"S",1
2020-02-15,"undefined",37
2020-02-16,"GR",1
2020-02-16,"undefined",31
2020-02-17,"L",2
2020-02-17,"undefined",51
2020-02-18,"G",1
2020-02-18,"GH",1
2020-02-18,"undefined",22
2020-02-19,"G",1
2020-02-19,"GH",1
2020-02-19,"L",1
2020-02-19,"V",1
2020-02-19,"undefined",22
2020-02-20,"undefined",38
2020-02-21,"undefined",46
2020-02-22,"V",1
2020-02-22,"undefined",46
2020-02-23,"undefined",34
2020-02-24,"G",3
2020-02-24,"GH",1
2020-02-24,"GR",1
2020-02-24,"S",1
2020-02-24,"V",1
2020-02-24,"undefined",56
2020-02-25,"G",1
2020-02-25,"GH",1
2020-02-25,"O",1
2020-02-25,"S",1
2020-02-25,"undefined",66
2020-02-26,"GH",1
2020-02-26,"GR",2
2020-02-26,"L",1
2020-02-26,"V",1
2020-02-26,"undefined",70
2020-02-27,"G",3
2020-02-27,"O",1
2020-02-27,"V",1
2020-02-27,"undefined",103
2020-02-28,"G",3
2020-02-28,"GR",3
2020-02-28,"O",2
2020-02-28,"V",3
2020-02-28,"undefined",139
2020-02-29,"G",3
2020-02-29,"GH",1
2020-02-29,"GR",5
2020-02-29,"O",1
2020-02-29,"V",1
2020-02-29,"undefined",120
2020-03-01,"G",6
2020-03-01,"GH",3
2020-03-01,"GR",1
