,I,II
2022/1/31,0,2
2022/2/28,1,1
2022/3/31,0,1
2022/4/30,0,4
2022/5/31,3,222
2022/6/30,0,940
2022/7/31,0,1840
2022/8/31,0,1137
2022/9/30,0,594
2022/10/31,0,388
2022/11/30,0,196
2022/12/31,0,130
2023/1/31,3,177
2023/2/28,0,97
2023/3/31,0,66
2023/4/30,0,73
2023/5/31,0,57
2023/6/30,0,78
2023/7/31,0,68
2023/8/31,0,87
2023/9/30,0,92
2023/10/31,2,196
2023/11/30,8,123
2023/12/31,18,69
2024/1/31,38,57
2024/2/29,7,67
2024/3/31,9,43
2024/4/30,5,50
2024/5/31,9,41
2024/6/30,0,45
2024/7/31,4,41
2024/8/31,3,46
