,A/H1,A/H3,A/H5,B/Victoria,B/Yamagata,Total,,,,
2021/7/31,0.1066,0.2746,0.0205,0.5984,0,244,26.0104,67.0024,5.002,146.0096
2021/8/31,0.0771,0.4486,0.0057,0.4686,0,350,26.985,157.01,1.995,164.01
2021/9/30,0.228,0.4666,0.0046,0.3009,0,658,150.024,307.0228,3.0268,197.9922
2021/10/31,0.1556,0.6786,0,0.1657,0,1086,168.9816,736.9596,0,179.9502
2021/11/30,0.0473,0.8284,0,0.1224,0.0018,2214,104.7222,1834.0776,0,270.9936
2021/12/31,0.0352,0.8688,0.0005,0.0955,0,3810,134.112,3310.128,1.905,363.855
2022/1/31,0.2146,0.7124,0,0.073,0,3849,825.9954,2742.0276,0,280.977
2022/2/28,0.0719,0.8568,0.0006,0.0707,0,1641,117.9879,1406.0088,0.9846,116.0187
2022/3/31,0.0652,0.9021,0,0.0327,0,4217,274.9484,3804.1557,0,137.8959
2022/4/30,0.0974,0.8746,0.0002,0.0278,0,4496,437.9104,3932.2016,0.8992,124.9888
2022/5/31,0.1164,0.8489,0,0.0347,0,3229,375.8556,2741.0981,0,112.0463
2022/6/30,0.1262,0.8256,0,0.0477,0.0005,1823,230.0626,1505.0688,0,86.9571
2022/7/31,0.1631,0.7644,0,0.0725,0,1214,198.0034,927.9816,0,88.015
2022/8/31,0.216,0.6822,0,0.1018,0,1139,246.024,777.0258,0,115.9502
2022/9/30,0.2048,0.7093,0.0005,0.0854,0,2212,453.0176,1568.9716,1.106,188.9048
2022/10/31,0.2588,0.6549,0.0002,0.0861,0,4332,1121.1216,2837.0268,0.8664,372.9852
2022/11/30,0.2378,0.7017,0.0001,0.0603,0,7755,1844.139,5441.6835,0.7755,467.6265
2022/12/31,0.3123,0.63,0,0.0577,0,13809,4312.5507,8699.67,0,796.7793
2023/1/31,0.4064,0.3908,0.0001,0.2026,0.0001,7242,2943.1488,2830.1736,0.7242,1467.2292
2023/2/28,0.3471,0.2285,0.001,0.4233,0,4805,1667.8155,1097.9425,4.805,2033.9565
2023/3/31,0.3175,0.1768,0.0002,0.5052,0.0002,4586,1456.055,810.8048,0.9172,2316.8472
2023/4/30,0.4126,0.16,0,0.4275,0,2957,1220.0582,473.12,0,1264.1175
2023/5/31,0.4676,0.2134,0.0007,0.3183,0,2868,1341.0768,612.0312,2.0076,912.8844
2023/6/30,0.5052,0.2493,0.0004,0.2451,0,2672,1349.8944,666.1296,1.0688,654.9072
2023/7/31,0.5558,0.2035,0.0005,0.2402,0,2098,1166.0684,426.943,1.049,503.9396
2023/8/31,0.4479,0.3016,0,0.2505,0,1565,700.9635,472.004,0,392.0325
2023/9/30,0.4156,0.3648,0,0.2196,0,2026,842.0056,739.0848,0,444.9096
2023/10/31,0.4453,0.3733,0.0019,0.1795,0,2668,1188.0604,995.9644,5.0692,478.906
2023/11/30,0.4821,0.3968,0.0004,0.1207,0,4748,2289.0108,1884.0064,1.8992,573.0836
2023/12/31,0.5344,0.3878,0,0.0777,0.0001,9997,5342.3968,3876.8366,0,776.7669
2024/1/31,0.5714,0.3211,0.0001,0.1074,0,10359,5919.1326,3326.2749,1.0359,1112.5566
2024/2/29,0.4897,0.3396,0.0004,0.1701,0.0002,8234,4032.1898,2796.2664,3.2936,1400.6034
2024/3/31,0.3647,0.3496,0.0007,0.285,0,5706,2080.9782,1994.8176,3.9942,1626.21
2024/4/30,0.3513,0.3619,0.0008,0.286,0,3609,1267.8417,1306.0971,2.8872,1032.174
2024/5/31,0.3984,0.389,0.0011,0.2115,0,2766,1101.9744,1075.974,3.0426,585.009
2024/6/30,0.3889,0.4575,0,0.1536,0,1458,567.0162,667.035,0,223.9488
2024/7/31,0.4165,0.4541,0.0075,0.1218,0,665,276.9725,301.9765,4.9875,80.997
